lr,n_epochs,do_shuffle,decay,patience_threshold,train_accuracy,dev_accuracy,best_dev_accuracy,time,batch_size,lr_scheduler
0.01,5,,,3,0.8358,0.8373,0.8373,26.05654501914978,4.0,cosine
0.01,5.0,,,3.0,0.3556,0.3678,0.7145,26.466447114944458,4.0,
0.01,5,,,3,0.8802,0.895,0.895,49.14670181274414,16.0,cosine
0.01,5.0,,,3.0,0.8067,0.8294,0.8294,35.35522198677063,16.0,
0.01,5,,,3,0.8857696611253197,0.9373009554140127,0.9373009554140127,11.146195888519287,64.0,cosine
0.01,5.0,,,3.0,0.7783727621483376,0.8171775477707006,0.8898288216560509,11.197112083435059,64.0,
0.01,10,,,3,0.58692,0.5952,0.7069,26.27314019203186,4.0,cosine
0.01,10.0,,,3.0,0.43774,0.4607,0.644,28.059289932250977,4.0,
0.01,10,,,3,0.91104,0.9147,0.9147,110.6130919456482,16.0,cosine
0.01,10.0,,,3.0,0.65476,0.667,0.8175,78.59125185012817,16.0,
0.01,10,,,3,0.8974984015345269,0.939390923566879,0.939390923566879,34.63088798522949,64.0,cosine
0.01,10.0,,,3.0,0.8353980179028133,0.8310111464968153,0.9059514331210191,26.520455837249756,64.0,
0.01,20,,,3,0.37018,0.3852,0.614,26.9235520362854,4.0,cosine
0.01,20.0,,,3.0,0.20888,0.1976,0.5917,26.980326890945435,4.0,
0.01,20,,,3,0.70768,0.7534,0.8475,41.7394437789917,16.0,cosine
0.01,20.0,,,3.0,0.70434,0.7265,0.8213,57.544172048568726,16.0,
0.01,20,,,3,0.8961796675191815,0.9331210191082803,0.9331210191082803,58.29198431968689,64.0,cosine
0.01,20.0,,,3.0,0.861113331202046,0.8974920382165605,0.8998805732484076,75.23170208930969,64.0,
0.001,5,,,3,0.97104,0.966,0.9676,26.14044189453125,4.0,cosine
0.001,5.0,,,3.0,0.952,0.9592,0.9592,25.76288104057312,4.0,
0.001,5,,,3,0.95154,0.96,0.96,39.940568923950195,16.0,cosine
0.001,5.0,,,3.0,0.91338,0.9207,0.9259,50.12646293640137,16.0,
0.001,5,,,3,0.9130634590792839,0.9567078025477707,0.9567078025477707,25.088586807250977,64.0,cosine
0.001,5.0,,,3.0,0.8814737851662404,0.9129179936305732,0.9250597133757962,21.32249689102173,64.0,
0.001,10,,,3,0.9812,0.9732,0.9732,53.2856969833374,4.0,cosine
0.001,10.0,,,3.0,0.94992,0.946,0.9564,50.05224823951721,4.0,
0.001,10,,,3,0.968,0.9664,0.9712,83.04952192306519,16.0,cosine
0.001,10.0,,,3.0,0.93886,0.9504,0.9504,76.95715308189392,16.0,
0.001,10,,,3,0.9288283248081841,0.9629777070063694,0.9629777070063694,23.85003900527954,64.0,cosine
0.001,10.0,,,3.0,0.9136229219948849,0.9202826433121019,0.9619824840764332,21.587300062179565,64.0,
0.001,20,,,3,0.97464,0.966,0.9668,53.43000411987305,4.0,cosine
0.001,20.0,,,3.0,0.95184,0.9516,0.9624,86.21816992759705,4.0,
0.001,20,,,3,0.97042,0.9822,0.984,119.08051300048828,16.0,cosine
0.001,20.0,,,3.0,0.92308,0.935,0.9533,97.08080410957336,16.0,
0.001,20,,,3,0.9273097826086957,0.9378980891719745,0.9451632165605095,45.21923613548279,64.0,cosine
0.001,20.0,,,3.0,0.8872082800511509,0.899781050955414,0.9259554140127388,24.52063512802124,64.0,
0.0001,5,,,3,0.94592,0.954,0.9544,26.635182857513428,4.0,cosine
0.0001,5.0,,,3.0,0.95832,0.9612,0.9612,26.51976180076599,4.0,
0.0001,5,,,3,0.93452,0.9367,0.9431,27.42541193962097,16.0,cosine
0.0001,5.0,,,3.0,0.9205,0.9328,0.9328,46.87354588508606,16.0,
0.0001,5,,,3,0.8981178069053708,0.9267515923566879,0.9267515923566879,16.824354648590088,64.0,cosine
0.0001,5.0,,,3.0,0.8830322890025576,0.918093152866242,0.9423765923566879,24.439441919326782,64.0,
0.0001,10,,,3,0.96384,0.9596,0.9608,56.3273720741272,4.0,cosine
0.0001,10.0,,,3.0,0.96816,0.9624,0.9644,52.821643114089966,4.0,
0.0001,10,,,3,0.94816,0.9399,0.9431,82.9696900844574,16.0,cosine
0.0001,10.0,,,3.0,0.94052,0.9399,0.9421,89.55359196662903,16.0,
0.0001,10,,,3,0.9200367647058824,0.9592953821656051,0.962281050955414,42.352957010269165,64.0,cosine
0.0001,10.0,,,3.0,0.8992966751918159,0.9295382165605095,0.9316281847133758,31.960392236709595,64.0,
0.0001,20,,,3,0.97416,0.9692,0.9692,69.6785659790039,4.0,cosine
0.0001,20.0,,,3.0,0.9744,0.968,0.9696,75.26294207572937,4.0,
0.0001,20,,,3,0.96012,0.9616,0.9632,144.61178374290466,16.0,cosine
0.0001,20.0,,,3.0,0.937,0.9401,0.943,81.98896384239197,16.0,
0.0001,20,,,3,0.8955402813299232,0.9278463375796179,0.9409832802547771,24.68891716003418,64.0,cosine
0.0001,20.0,,,3.0,0.9085677749360613,0.973328025477707,0.9807921974522293,59.94084095954895,64.0,
